date,forecasted_tickets,upper_confidence,lower_confidence
2023-03-06,8482.040866968062,1545.6385306777036,15298.018907439211
2023-03-07,8124.599994110771,1434.6127175567322,14902.982139571035
2023-03-08,7919.731601588927,820.816939764863,14509.646680030462
2023-03-09,8267.028197075635,1349.505235928457,14838.24878307737
2023-03-10,7719.722986588361,693.482267565313,14313.97676002232
2023-03-11,5258.183486294451,-1744.1152628478383,12259.321233696486
2023-03-12,8170.392282570382,1444.79032574753,15134.39505022929
2023-03-13,8471.558577412974,1489.4733104551087,15078.202524355589
2023-03-14,8114.117704553234,1391.9352067696175,14591.28532485049
2023-03-15,7909.24931203036,1003.1261570206005,14298.80540590251
2023-03-16,8256.54590752278,2057.0416142301056,15391.76652841903
2023-03-17,7709.24069703155,1336.7002435534125,14039.771344953082
2023-03-18,5247.7011967392755,-1485.7562061851818,12210.043580371283
